phrase,diacritics_phrase
"au. Din cand in cand, presentimentul ca ar mai exista si altceva. In general, asta","au. Din când în când, presentimentul că ar mai exista și altceva. În general, asta"
"nu le schimba viata. Dar presentimentul a existat si asta, oricum, tot e ceva.","nu le schimbă viața. Dar presentimentul a existat și asta, oricum, tot e ceva."
"Oranul, dimpotriva, este, aparent, un oras fara presentimente, adica un oray cu","Oranul, dimpotrivă, este, aparent, un oraș fără presentimente, adică un oray cu"
totul si cu totul modern. Nu e prin urmare necesar sa precizam modul in care se,totul și cu totul modern. Nu e prin urmare necesar să precizăm modul în care se
iubeste la noi. Barbatii si femeile fie ca se devora rapid fn ceea ce se cheama,iubește la noi. Bărbații și femeile fie că se devoră rapid fn ceea ce se cheamă
"actul dragostei, fie ca se lasa prinsi intr-o lunga obisnuinta fn doi. Intre aceste","actul dragostei, fie că se lăsă prinși într-o lungă obișnuință fn doi. Între aceste"
"extreme, rareori exista cale de mijloc. Nici asta nu e ceva original. La Oran, ca si","extreme, rareori există cale de mijloc. Nici asta nu e ceva original. La Oran, ca și"
"aiurea, din lipsa de timp si de reflectie, esti fntr-adevar silit sa iubesti fara s-o","aiurea, din lipsă de timp și de reflecție, ești fntr-adevăr silit să iubești fără s-o"
stii.,știi.
Ceea ce e mai original in orasul nostru este dificultatea de care te poti lovi aici,Ceea ce e mai original în orașul nostru este dificultatea de care te poți lovi aici
"cand e sa mori. Dificultate, de altfel, nu este cuvantul potrivit si mai corect ar fi","când e să mori. Dificultate, de altfel, nu este cuvântul potrivit și mai corect ar fi"
"sa vorbim de inconfort. Nu e niciodata agreabil sa fii bolnav, dar sunt orase si","să vorbim de inconfort. Nu e niciodată agreabil să fii bolnav, dar sunt orașe și"
"locuri care te sustin in boala, unde poti, intr-un fel, sa te lasi in voia ei. Un","locuri care te susțin în boală, unde poți, într-un fel, să te lași în voia ei. Un"
"bolnav are nevoie de blandete, i place sa stie ca se poate sprijini pe ceva, cume","bolnav are nevoie de blândețe, i place să știe că se poate sprijini pe ceva, cume"
"si firesc. Dar la Oran, excesele climei, importanta afacerilor care se trateaza,","și firesc. Dar la Oran, excesele climei, importanța afacerilor care se tratează,"
"insignifianta decorului, rapiditatea crepusculului si calitatea placerilor, totul cere","insignifianta decorului, rapiditatea crepusculului și calitatea plăcerilor, totul cere"
sanatate zdravana. Un bolnav se simte foarte singur aici. Ganditi-va atunci la cel,sănătate zdravănă. Un bolnav se simte foarte singur aici. Gândiți-vă atunci la cel
"care trage sa moara, prins in cursa, indaratul sutelor de pereti trosnind de","care trage să moară, prins în cursă, îndărătul sutelor de pereți trosnind de"
"caildura, in timp ce in acelasi minut chiar, o intreaga populatie, la telefon sau in","căildura, în timp ce în același minut chiar, o întreagă populație, la telefon sau în"
"cafenele, vorbeste de polite, de conosamente si de scont. Veti intelege atunci ce","cafenele, vorbește de polițe, de conosamente și de scont. Veți înțelege atunci ce"
"poate fi inconfortabil in aceasta moarte, chiar moderna, cand apare deci intr-un","poate fi inconfortabil în această moarte, chiar modernă, când apare deci într-un"
loc sterp.,loc sterp.
Aceste cateva indicatii reusesc poate sa dea o idee suficienta despre orasul,Aceste câteva indicații reușesc poate să dea o idee suficientă despre orașul
"nostru. De altminteri, nu trebuie nimic exagerat. Ceea ce trebuia subliniat, este","nostru. De altminteri, nu trebuie nimic exagerat. Ceea ce trebuia subliniat, este"
"doar aerul banal al orasului si al vietii. Dar, indata ce ti-ai creat obisnuintele, fti","doar aerul banal al orașului și al vieții. Dar, îndată ce ți-ai creat obișnuințele, fti"
duci zilele fara greutate. Din moment ce orasul nostru tocmai favorizeaza,duci zilele fără greutate. Din moment ce orașul nostru tocmai favorizează
"obisnuintele, se poate spune ca totul e cumnu se poate mai bine. Sub acest","obișnuințele, se poate spune că totul e cumnu se poate mai bine. Sub acest"
"unghi, fara fndoiala, viata nu e foarte pasionanta. Dar, cel putin, la noi nu se","unghi, fără fndoială, viața nu e foarte pasionantă. Dar, cel puțin, la noi nu se"
"cunoaste dezordinea. i populatia noastra cu fire deschisa, simpatica si activa, a","cunoaște dezordinea. i populația noastră cu fire deschisă, simpatică și activă, a"
"starnit totdeauna in calator o stima fireasca. Acest oras fara pitoresc, fara","stârnit totdeauna în călător o stimă firească. Acest oraș fără pitoresc, fără"
"vegetatie si fara suflet sfarseste prin a parea odihnitor, te prinde fn somn, pana la","vegetație și fără suflet sfârșește prin a părea odihnitor, te prinde fn somn, până la"
"urma. Dar este si drept sa mai adaugam ca e grefat pe un peisaj fara seaman, fn","urmă. Dar este și drept să mai adăugăm că e grefat pe un peisaj fără seamăn, fn"
"mijlocul unui podis deschis, fnconjurat de coline luminoase, fn fata unui golf cu","mijlocul unui podiș deschis, fnconjurat de coline luminoase, fn fața unui golf cu"
un contur desavarsit. Pacat numai ca a fost construit cu spatele la acest golf si ca,un contur desăvârșit. Păcat numai că a fost construit cu spatele la acest golf și ca
"e cu neputinta asadar sa zaresti marea pe care, daca vrei s-o vezi, trebuie","e cu neputință așadar să zărești marea pe care, dacă vrei s-o vezi, trebuie"
totdeauna s-o cauti.,totdeauna s-o cauți.
"Ajunsi aici, va fi lesne sa admitem ca nimic nu-i putea face pe concetatenii","Ajunși aici, va fi lesne să admitem că nimic nu-i putea face pe concetățenii"
nostri sa prevada incidentele care au avut loc in primavara anului acela si care au,noștri să prevadă incidentele care au avut loc în primăvara anului acela și care au
"fost, pe urma am inteles, cele dintai semne parca ale unui sir de grave","fost, pe urmă am înțeles, cele dintâi semne parcă ale unui șir de grave"
evenimente a caror cronica ne-am propus s-o facem aici. Aceste fapte vor parea,evenimente a căror cronică ne-am propus s-o facem aici. Aceste fapte vor părea
"cu totul firesti unora, iar altora, dimpotriva, neverosimile. Dar, la urma urmei, un","cu totul firești unora, iar altora, dimpotrivă, neverosimile. Dar, la urma urmei, un"
cronicar nu poate sa tina seama de aceste contradictii. Sarcina lui este sa spuna,cronicar nu poate să țină seama de aceste contradicții. Sarcina lui este să spună
"numai: ,,Lucrul asta s-a intamplat'', cand stie ca acest lucru, intr-adevar, s-a","numai: ,,Lucrul ăsta s-a întâmplat'', când știe că acest lucru, într-adevăr, s-a"
"intamplat, ca a privit viata unui intreg popor si ca exista deci mii de martori care","întâmplat, că a privit viața unui întreg popor și că există deci mii de martori care"
vor pretui in inima lor adevarul celor spuse de el.,vor prețui în inima lor adevărul celor spuse de el.
"De altminteri, povestitorul, care totdeauna este la timp cunoscut, n-ar avea nici","De altminteri, povestitorul, care totdeauna este la timp cunoscut, n-ar avea nici"
un merit de pus in lumina intr-o astfel de fntreprindere daca fntamplarea nu l-ar,un merit de pus în lumină într-o astfel de fntreprindere dacă fntâmplarea nu l-ar
"fi ajutat sa culeaga un anumit numar de marturii si daca, prin forta lucrurilor, n-","fi ajutat să culeagă un anumit număr de mărturii și dacă, prin forța lucrurilor, n-"
ar fi fost amestecat in tot ceea ce spera el sa va expuna. Este tocmai ceea ce fl,ar fi fost amestecat în tot ceea ce spera el să vă expună. Este tocmai ceea ce fl
"indreptateste sa faca opera de istoric. Bineinteles, un istoric, chiar daca e un","îndreptățește să facă operă de istoric. Bineînțeles, un istoric, chiar dacă e un"
"amator, are totdeauna si documente. Povestitorul acestei istorii le are deci si el","amator, are totdeauna și documente. Povestitorul acestei istorii le are deci și el"
"pe ale sale: marturia sa mai intai, a altora mai apoi, pentru ca, prin rolul sau, el a","pe ale sale: mărturia sa mai întâi, a altora mai apoi, pentru ca, prin rolul său, el a"
"ajuns sa culeaga destainuirile tuturor personajelor acestei cronici si, fn ultimul","ajuns să culeagă destăinuirile tuturor personajelor acestei cronici și, fn ultimul"
"rand, textele care pana la sfarit tot i-au cazut in mana. El fsi propune sa mearga","rând, textele care până la sfărît tot i-au căzut în mână. El fsi propune să meargă"
la ele cand va crede de cuviinta si sa le foloseasca cum ii va placea. Iyi mai,la ele când va crede de cuviință și să le folosească cum îi va plăcea. Iyi mai
propune. .. Dar poate ca e timpul sa lasam de o parte comentariile si precautiile,propune. .. Dar poate că e timpul să lăsăm de o parte comentariile și precauțiile
fata de limbaj si sa ajungem la povestirea insasi. Relatarea primelor zile cere,față de limbaj și să ajungem la povestirea însăși. Relatarea primelor zile cere
oarecare migala.,oarecare migală.
"In dimineata lui 16 aprilie, doctorul Bernard Rieux iese din cabinetul sau si da","În dimineața lui 16 aprilie, doctorul Bernard Rieux iese din cabinetul său și da"
"peste un sobolan mort, in mijlocul palierului. Pe moment, l fndeparteaza fara sa-","peste un șobolan mort, în mijlocul palierului. Pe moment, l fndepartează fără să-"
"l ia in seama si coboara scairile. Dar, ajuns in strada, se trezeste gandind can-","l ia în seamă și coboară scairile. Dar, ajuns în stradă, se trezește gândind can-"
avea ce sa caute acolo acest sobolan si se intoarce sa-i spuna portarului. Fata de,avea ce să caute acolo acest șobolan și se întoarce să-i spună portarului. Față de
"felul cum a reactionat batranul domn Michel, doctorul isi da seama si mai bine","felul cum a reacționat bătrânul domn Michel, doctorul își dă seama și mai bine"
de ceea ce avea in ea insolit descoperirea. Prezenta acestui sobolan mort i se,de ceea ce avea în ea insolit descoperirea. Prezența acestui șobolan mort i se
"paruse doar ciudata in timp ce, pentru portar, ea constituia un scandal. Parerea","păruse doar ciudată în timp ce, pentru portar, ea constituia un scandal. Părerea"
acestuia din urma era categorica: nu existau sobolani fn bloc. Doctorul s-a,acestuia din urmă era categorică: nu existau șobolani fn bloc. Doctorul s-a
"straduit in zadar sa-l asigure ca era unul pe palierul primului etaj si, probabil,","străduit în zadar să-l asigure că era unul pe palierul primului etaj și, probabil,"
"mort, convingerea domnului Michel ramanea neclintita. Nu existau sobolani in","mort, convingerea domnului Michel rămânea neclintită. Nu existau șobolani în"
"bloc, prin urmare trebuie sa fi fost adus acolo de afara. Pe scurt, era vorba de-o","bloc, prin urmare trebuie să fi fost adus acolo de afară. Pe scurt, era vorba de-o"
farsa.,farsă.
"In aceeasi seara, Bernard Rieux, fn picioare pe culoarul imobilului, isi cuta","În aceeași seară, Bernard Rieux, fn picioare pe culoarul imobilului, își cuta"
"cheile inainte sa urce, cand vede aparand, din fundul intunecat al coridorului, un","cheile înainte să urce, când vede apărând, din fundul întunecat al coridorului, un"
"sobolan mare cu umbletul nesigur si cu blana uda. Guzganul s-a oprit, parand sa-","șobolan mare cu umbletul nesigur și cu blană udă. Guzganul s-a oprit, părând să-"
"si caute un echilibru, apoi a luat-o in fuga spre doctor, s-a oprit iarasi, s-a rasucit","și caute un echilibru, apoi a luat-o în fugă spre doctor, s-a oprit iarăși, s-a răsucit"
"de cateva ori cu un mic chitcait si a cazut, fn sfarsit, cu sangele tasnindu-i prin","de câteva ori cu un mic chițcăit și a căzut, fn sfârșit, cu sângele țâșnindu-i prin"
botul intredeschis. Doctorul il contempla un moment si urca spre apartamentul,botul întredeschis. Doctorul îl contemplă un moment și urcă spre apartamentul
lui.,lui.
Nu la sobolan se gandea. Acest sange tasnit il ducea la preocuparile lui. Sotia,Nu la șobolan se gândea. Acest sânge țâșnit îl ducea la preocupările lui. Soția
"sa, bolnava de un an, trebuia sa plece a doua zi intr-o statiune de munte. A gasit-","sa, bolnavă de un an, trebuia să plece a doua zi într-o stațiune de munte. A găsit-"
"o culcata in camera lor, aya cum ii ceruse. Astfel se pregatea pentru oboseala","o culcată în camera lor, aya cum îi ceruse. Astfel se pregătea pentru oboseală"
deplasarii. Zambea.,deplasării. Zâmbea.
"-- Ma simt foarte bine, spunea ea.","-- Mă simt foarte bine, spunea ea."
"In lumina lampii de la capataiul patului, doctorul ii privea fata intoarsa spre el.","În lumina lămpii de la căpătâiul patului, doctorul îi privea fața întoarsă spre el."
"Pentru Rieux, la treizeci de ani si in ciuda semnelor bolii, acest chip ramanea","Pentru Rieux, la treizeci de ani și în ciuda semnelor bolii, acest chip rămânea"
"mereu acelasi, ca pe vremea tineretii, poate din cauza acestui zambet al ei care","mereu același, ca pe vremea tinereții, poate din cauza acestui zâmbet al ei care"
reugea sa stearga tot.,reugea să șteargă tot.
"-- Dormi daca poti, spune el. Sora o sa vina la unsprezece si o sa te conduc la","-- Dormi dacă poți, spune el. Sora o să vină la unsprezece și o să te conduc la"
trenul de pranz.,trenul de prânz.
El saruta apoi o frunte usor umeda. Zambetul ei il fnsoteste pana la usa.,El sărută apoi o frunte ușor umedă. Zâmbetul ei îl fnsoțește până la ușă.
"A doua zi, 17 aprilie, la orele opt, portarul il opreste pe doctorul care tocmai","A doua zi, 17 aprilie, la orele opt, portarul îl oprește pe doctorul care tocmai"
"trecea si ii spune, vadit acuzator, ca niste farsori ar fi adus trei sobolani morti in","trecea și îi spune, vădit acuzator, ca niște farsori ar fi adus trei șobolani morți în"
"mijlocul culoarului. Trebuie sa fi fost prinsi cu niste curse zdravene, fiindca erau","mijlocul culoarului. Trebuie să fi fost prinși cu niște curse zdravene, fiindcă erau"
"plini de sange. Portarul ramasese catva timp in pragul usii, tinand sobolanii de","plini de sânge. Portarul rămăsese câtva timp în pragul ușii, ținând șobolanii de"
labe si asteptand ca vinovatii sa binevoiasca sa se tradeze printr-o gluma,labe și așteptând ca vinovații să binevoiască să se trădeze printr-o glumă
sarcasticai. Dar nimic nu se intamplase.,sarcasticăi. Dar nimic nu se întâmplase.
"-- Ah. De-al de astia, fsi spunea domnul Michel, pun eu mana pe ei pana la","-- Ah. De-al de ăștia, fsi spunea domnul Michel, pun eu mâna pe ei până la"
urma.,urmă.
"Intrigat, Rieux se hotaraste sa-si inceapa turul consultatiilor cu cartierele","Intrigăt, Rieux se hotărăște să-și înceapă turul consultațiilor cu cartierele"
"marginase, unde locuiau cei mai saraci dintre clientii sai. Pe aici strangerea","mărginașe, unde locuiau cei mai săraci dintre clienții săi. Pe aici strângerea"
"gunoaielor se facea mult mai tarziu si masina doctorului, care mergea de-a","gunoaielor se făcea mult mai târziu și mașina doctorului, care mergea de-a"
"lungul drumurilor drepte si prafuite ale acestui cartier, atingea in treacat lazile","lungul drumurilor drepte și prăfuite ale acestui cartier, atingea în treacăt lăzile"
"pline cu resturi, lasate la marginea trotuarului. Pe o strada de-a lungul careia","pline cu resturi, lăsate la marginea trotuarului. Pe o stradă de-a lungul căreia"
"trecea astfel, doctorul numara o duzina de sobolani aruncati pe ramasitele de","trecea astfel, doctorul numără o duzină de șobolani aruncați pe rămășițele de"
legume si de carpe murdare.,legume și de cârpe murdare.
"Pe primul sau bolnav l-a gasit in pat, intr-o incapere care dadea in strada si care","Pe primul său bolnav l-a găsit în pat, într-o încăpere care dădea în stradă și care"
era fn acelasi timp gi camera lui de culcare si de mancat. Era un batran spaniol cu,era fn același timp gi camera lui de culcare și de mâncat. Era un bătrân spaniol cu
"chipul aspru si brazdat. Avea in fata lui, pe patura, doua oale pline cu mazare. In","chipul aspru și brăzdat. Avea în fața lui, pe pătură, două oale pline cu mazăre. În"
"clipa cand intra doctorul, bolnavul, in capul oaselor, se lasa pe spate ca sa","clipa când intră doctorul, bolnavul, în capul oaselor, se lăsă pe spate ca să"
incerce sa-si traga rasuflarea lui gajaita de vechi astmatic. Nevasta-sa aduse un,încerce să-și tragă răsuflarea lui gâjâită de vechi astmatic. Nevastă-sa aduse un
lighean.,lighean.
"- Ei, domnule doctor, spune el in timp ce-i facea injectia, i-ati vazut cum ies?","- Ei, domnule doctor, spune el în timp ce-i făcea injecția, i-ați văzut cum ies?"
"-- Da, spuse femeia, vecinul nostru a adunat vreo trei.","-- Da, spuse femeia, vecinul nostru a adunat vreo trei."
Baitranul isi freca mainile.,Baitranul își frecă mâinile.
"- Ies, ii vezi prin toate lazile de gunoi, foamea-i scoate, asta-il","- Ies, îi vezi prin toate lăzile de gunoi, foamea-i scoate, asta-il"
Doctorului Rieux nu i-a fost greu sa constate apoi ca in tot cartierul se vorbea,Doctorului Rieux nu i-a fost greu să constate apoi că în tot cartierul se vorbea
"de sobolani. O data terminate vizitele, se intoarse acasa.","de șobolani. O dată terminate vizitele, se întoarse acasă."
"- Aveti sus o telegrama, spuse domnul Michel.","- Aveți sus o telegramă, spuse domnul Michel."
Doctorul il intreaba daca mai vazuse sobolani.,Doctorul îl întreabă dacă mai văzuse șobolani.
"- A. Nu, spune portarul, stau la panda, stiti? Si porcii aia nu indraznesc.","- A. Nu, spune portarul, stau la pândă, știți? Și porcii ăia nu îndrăznesc."
"Telegrama il anunta pe doctor de sosirea mamei lui, a doua zi. Venea sa se","Telegrama îl anunță pe doctor de sosirea mamei lui, a doua zi. Venea să se"
"ocupe in absenta bolnavei de casa fiului ei. Cand Rieux se intoarse acasa, sora","ocupe în absența bolnavei de casa fiului ei. Când Rieux se întoarse acasă, soră"
"era acolo. Doctorul isi vazu nevasta in picioare, fn taior, cu chipul stralucind de","era acolo. Doctorul își văzu nevasta în picioare, fn tăior, cu chipul strălucind de"
fard. I-a zambit:,fard. I-a zâmbit:
"- E bine, spune el, foarte bine.","- E bine, spune el, foarte bine."
"Cateva clipe mai tarziu, la gara, o instala in vagonul de dormit. Ea privea","Câteva clipe mai târziu, la gară, o instală în vagonul de dormit. Ea privea"
compartimentul.,compartimentul.
"- E prea scump pentru noi, nu crezi?","- E prea scump pentru noi, nu crezi?"
"-- Trebuie, spune Rieux.","-- Trebuie, spune Rieux."
- Ce-i cu povestea asta cu sobolanii,- Ce-i cu povestea asta cu șobolanii
"- Nu stiu. E ciudat, dar o sa treaca.","- Nu știu. E ciudat, dar o să treacă."
"Apoi fi spune foarte grabit ca fi cerea iertare, ca ar fi trebuit sa fie mai atent cu","Apoi fi spune foarte grăbit ca fi cerea iertare, că ar fi trebuit să fie mai atent cu"
"ea si ca o neglijase cam mult. Ea dadea din cap, ca pentru a-i face semn sa taca.","ea și că o neglijase cam mult. Ea dădea din cap, ca pentru a-i face semn să tacă."
Dar el adauga:,Dar el adaugă:
"- Cand te vei intoarce, totul o sa fie mai bine. O vom lua iar de la capat.","- Când te vei întoarce, totul o să fie mai bine. O vom lua iar de la capăt."
"-- Da, spune ea cu ochii stralucind, o vom lua iar de la capat.","-- Da, spune ea cu ochii strălucind, o vom lua iar de la capăt."
"O clipa mai tarziu, ea ii intorcea spatele si se uita pe geam. Pe peron, oamenii","O clipă mai târziu, ea îi întorcea spatele și se uită pe geam. Pe peron, oamenii"
se grabeau si se izbeau unii de altii. uieratul locomotivei se auzea pana la ei. O,se grăbeau și se izbeau unii de alții. uieratul locomotivei se auzea până la ei. O
"striga pe sotia lui pe nume si, cand ea se intoarse, fi vazu fata scaldata in lacrimi.","strigă pe soția lui pe nume și, când ea se întoarse, fi văzu fața scăldată în lacrimi."
"- Nu, spune el incet.","- Nu, spune el încet."
"Sub lacrimi, zambetul revenea, pugin crispat. Incerca sa respire adanc.","Sub lacrimi, zâmbetul revenea, pugin crispat. Încercă să respire adânc."
"-- Du-te, spune ea, o sa fie bine.","-- Du-te, spune ea, o să fie bine."
"El o stranse la piept si acum, pe peron, de cealalta parte a geamului, nu-i mai","El o strânse la piept și acum, pe peron, de cealaltă parte a geamului, nu-i mai"
vedea decat zambetul.,vedea decât zâmbetul.
"-- Te rog, ai grija de tine, spune el.","-- Te rog, ai grijă de tine, spune el."
Dar ea nu putea sa-l auda.,Dar ea nu putea să-l audă.
"Aproape de iesire, pe peronul garii, Rieux s-a izbit de domnul Othon,","Aproape de ieșire, pe peronul gării, Rieux s-a izbit de domnul Othon,"
"judecatorul de instructie, care fsi tinea baiatul de mana. Doctorul il intreaba daca","judecătorul de instrucție, care fsi ținea băiatul de mână. Doctorul îl întreabă dacă"
"pleaca in calatorie. Domnul Othon, lung gi negru si care semana jumatate cu","pleacă în călătorie. Domnul Othon, lung gi negru și care semăna jumătate cu"
"ceea ce altadata se numea un om de lume, jumatate cu un cioclu, raspunse cu o","ceea ce altădată se numea un om de lume, jumătate cu un cioclu, răspunse cu o"
"voce amabila, dar grabita:","voce amabilă, dar grăbită:"
- O astept pe doamna Othon care s-a dus sa-si prezinte omagiile familiei mele.,- O aștept pe doamna Othon care s-a dus să-și prezinte omagiile familiei mele.
Locomotiva fluiera.,Locomotiva fluieră.
- obolanii... Spune judecatorul.,- obolănii... Spune judecătorul.
"Rieux vru parca s-o ia fn directia trenului, dar se intoarse spre iesire.","Rieux vru parcă s-o ia fn direcția trenului, dar se întoarse spre ieșire."
"-- Da, spune el, nu-i nimic.","-- Da, spune el, nu-i nimic."
Tot ceea ce a retinut Rieux din acele clipe a fost trecerea unui muncitor care,Tot ceea ce a reținut Rieux din acele clipe a fost trecerea unui muncitor care
ducea sub brat o lada plina cu sobolani morgi.,ducea sub braț o ladă plină cu șobolani morgi.
"In dupa-amiaza aceleiasi zile, la inceputul consultatiilor, Rieux l-a primit pe un","În după-amiaza aceleiași zile, la începutul consultațiilor, Rieux l-a primit pe un"
tanar despre care i se spusese ca era ziarist si ca mai venise o data dimineata. Il,tânăr despre care i se spusese că era ziarist și că mai venise o dată dimineața. Îl
"chema Raymond Rambert. Mic de statura, cu umeri lati, cu chip hotarat, cu ochi","chema Raymond Rambert. Mic de statură, cu umeri lați, cu chip hotărât, cu ochi"
"luminosi si inteligenti, Rambert purta haine de o croiala sportiva si in viata parea","luminoși și inteligenți, Rambert purta haine de o croială sportivă și în viață părea"
sa se simta fn largul lui. Atacai direct subiectul. Venise sa faca o ancheta pentru,să se simtă fn largul lui. Atacăi direct subiectul. Venise să facă o anchetă pentru
un mare ziar din Paris asupra conditiilor de viata ale arabilor si voia informatii,un mare ziar din Paris asupra condițiilor de viață ale arabilor și voia informații
"asupra starii lor sanitare. Rieux ii spune ca aceasta stare nu era buna. Dar el,","asupra stării lor sanitare. Rieux îi spune că această stare nu era bună. Dar el,"
"inainte de a continua, voia sa stie daca ziaristul putea sa scrie adevarul.","înainte de a continua, voia să știe dacă ziaristul putea să scrie adevărul."
"-- Desigur, spune celalalt.","-- Desigur, spune celălalt."
- Vreau sa spun: puteti sa condamnati pana la capat?,- Vreau să spun: puteți să condamnați până la capăt?
"-- Pana la capat nu, trebuie sa recunosc. Dar presupun ca aceasta condamnare","-- Până la capăt nu, trebuie să recunosc. Dar presupun că această condamnare"
ar fi nefondata.,ar fi nefondată.
"Vorbind fncet, Rieux spuse ca, intr-adevar, o asemenea condamnare ar fi","Vorbind fncet, Rieux spuse că, într-adevăr, o asemenea condamnare ar fi"
"nefondata, dar ca punand intrebarea el cauta numai s afle daca marturia lui","nefondată, dar că punând întrebarea el căută numai s afle dacă mărturia lui"
